Time_ps,Energy_eV,Purity,Coherence
0.000,1.000000,1.000000,1.000000
0.100,1.000000,0.995025,0.990050
0.200,1.000000,0.990099,0.980199
0.300,1.000000,0.985223,0.970446
0.400,1.000000,0.980395,0.960789
0.500,1.000000,0.975615,0.951229
0.600,1.000000,0.970882,0.941765
0.700,1.000000,0.966197,0.932394
0.800,1.000000,0.961558,0.923116
0.900,1.000000,0.956966,0.913931
1.000,1.000000,0.952419,0.904837
1.100,1.000000,0.947917,0.895834
1.200,1.000000,0.943460,0.886920
1.300,1.000000,0.939048,0.878095
1.400,1.000000,0.934679,0.869358
1.500,1.000000,0.930354,0.860708
1.600,1.000000,0.926072,0.852144
1.700,1.000000,0.921832,0.843665
1.800,1.000000,0.917635,0.835270
1.900,1.000000,0.913480,0.826959
2.000,1.000000,0.909365,0.818731
2.100,1.000000,0.905292,0.810584
2.200,1.000000,0.901259,0.802519
2.300,1.000000,0.897267,0.794534
2.400,1.000000,0.893314,0.786628
2.500,1.000000,0.889400,0.778801
2.600,1.000000,0.885526,0.771052
2.700,1.000000,0.881690,0.763379
2.800,1.000000,0.877892,0.755784
2.900,1.000000,0.874132,0.748264
3.000,1.000000,0.870409,0.740818
3.100,1.000000,0.866723,0.733447
3.200,1.000000,0.863075,0.726149
3.300,1.000000,0.859462,0.718924
3.400,1.000000,0.855885,0.711770
3.500,1.000000,0.852344,0.704688
3.600,1.000000,0.848838,0.697676
3.700,1.000000,0.845367,0.690734
3.800,1.000000,0.841931,0.683861
3.900,1.000000,0.838528,0.677057
4.000,1.000000,0.835160,0.670320
4.100,1.000000,0.831825,0.663650
4.200,1.000000,0.828523,0.657047
4.300,1.000000,0.825255,0.650509
4.400,1.000000,0.822018,0.644036
4.500,1.000000,0.818814,0.637628
4.600,1.000000,0.815642,0.631284
4.700,1.000000,0.812501,0.625002
4.800,1.000000,0.809392,0.618783
4.900,1.000000,0.806313,0.612626
5.000,1.000000,0.803265,0.606531
5.100,1.000000,0.800248,0.600496
5.200,1.000000,0.797260,0.594521
5.300,1.000000,0.794302,0.588605
5.400,1.000000,0.791374,0.582748
5.500,1.000000,0.788475,0.576950
5.600,1.000000,0.785605,0.571209
5.700,1.000000,0.782763,0.565525
5.800,1.000000,0.779949,0.559898
5.900,1.000000,0.777164,0.554327
6.000,1.000000,0.774406,0.548812
6.100,1.000000,0.771675,0.543351
6.200,1.000000,0.768972,0.537944
6.300,1.000000,0.766296,0.532592
6.400,1.000000,0.763646,0.527292
6.500,1.000000,0.761023,0.522046
6.600,1.000000,0.758426,0.516851
6.700,1.000000,0.755854,0.511709
6.800,1.000000,0.753308,0.506617
6.900,1.000000,0.750788,0.501576
7.000,1.000000,0.748293,0.496585
7.100,1.000000,0.745822,0.491644
7.200,1.000000,0.743376,0.486752
7.300,1.000000,0.740954,0.481909
7.400,1.000000,0.738557,0.477114
7.500,1.000000,0.736183,0.472367
7.600,1.000000,0.733833,0.467666
7.700,1.000000,0.731507,0.463013
7.800,1.000000,0.729203,0.458406
7.900,1.000000,0.726922,0.453845
8.000,1.000000,0.724664,0.449329
8.100,1.000000,0.722429,0.444858
8.200,1.000000,0.720216,0.440432
8.300,1.000000,0.718025,0.436049
8.400,1.000000,0.715855,0.431711
8.500,1.000000,0.713707,0.427415
8.600,1.000000,0.711581,0.423162
8.700,1.000000,0.709476,0.418952
8.800,1.000000,0.707391,0.414783
8.900,1.000000,0.705328,0.410656
9.000,1.000000,0.703285,0.406570
9.100,1.000000,0.701262,0.402524
9.200,1.000000,0.699260,0.398519
9.300,1.000000,0.697277,0.394554
9.400,1.000000,0.695314,0.390628
9.500,1.000000,0.693371,0.386741
9.600,1.000000,0.691446,0.382893
9.700,1.000000,0.689542,0.379083
9.800,1.000000,0.687656,0.375311
9.900,1.000000,0.685788,0.371577
10.000,1.000000,0.683940,0.367879
